Title,Link,Company,Location,Date Posted,Job Type,Contract Type,Tech Stack,DateNow
Chuyên viên Điều phối dự án (PMO) – Mã vị trí NHS06 (số lượng 06),https://topdev.vn/vi/viec-lam/chuyen-vien-dieu-phoi-du-an-pmo-ma-vi-tri-nhs06-so-luong-06-bidv-trung-tam-phat-trien-ngan-hang-so-2033578?src=topdev_search&medium=searchresult,BIDV - Trung tâm Phát triển ngân hàng số,"Quận Hai Bà Trưng, Hà Nội, (In Office)",Đăng12 giờ trước,Năm kinh nghiệm tối thiểuTừ3 năm,"Middle,Senior","Fintech, PMO, Project Coordinator",2024-08-31 14:46:21
Manual Tester (Japanese N2 Up),https://topdev.vn/vi/viec-lam/manual-tester-japanese-n2-up-fpt-software-2033832?src=topdev_search&medium=searchresult,FPT Software,"Thành phố Thủ Đức, Hồ Chí Minh, (In Office)",Đăng12 giờ trước,Năm kinh nghiệm tối thiểuTừ4 năm,Senior,"Tester, Japanese - N2, Manual Tester",2024-08-31 14:46:22
Technical Lead (Java),https://topdev.vn/vi/viec-lam/technical-lead-java-cong-ty-co-phan-chung-khoan-vndirect-2034120?src=topdev_search&medium=searchresult,CÔNG TY CỔ PHẦN CHỨNG KHOÁN VNDIRECT,"Quận Thanh Xuân, Hà Nội, (In Office)",Đăng12 giờ trước,Năm kinh nghiệm tối thiểuTừ7 năm,"Trưởng phòng,Trưởng Nhóm,Senior","Java, Spring, Database, Technical Leader, Java EE",2024-08-31 14:46:23
Trưởng phòng An Toàn Thông Tin (ATTT),https://topdev.vn/vi/viec-lam/truong-phong-an-toan-thong-tin-attt-tong-cong-ty-buu-dien-viet-nam-vietnam-post-2033835?src=topdev_search&medium=searchresult,Tổng Công ty Bưu điện Việt Nam (Vietnam Post),"Quận Nam Từ Liêm, Hà Nội, (In Office)",Đăng12 giờ trước,Năm kinh nghiệm tối thiểuTừ3 năm,Trưởng phòng,"IT Security, System Security",2024-08-31 14:46:23
"Leader Back-End Developer (Golang, MySQL)",https://topdev.vn/vi/viec-lam/leader-back-end-developer-golang-mysql-trintech-2033872?src=topdev_search&medium=searchresult,TrinTech,"Quận 1, Hồ Chí Minh, (Remote, Hybrid, In Office)",Đăng12 giờ trước,Năm kinh nghiệm tối thiểuTừ5 năm,"Trưởng phòng,Trưởng Nhóm","MySQL, Golang, Back-End",2024-08-31 14:46:24
[Da Nang] Bridge System Engineer (Japanese Speaking) - Kỹ sư cầu nối (Tiếng Nhật),https://topdev.vn/vi/viec-lam/da-nang-bridge-system-engineer-japanese-speaking-ky-su-cau-noi-tieng-nhat-chi-nhanh-cong-ty-tnhh-pasona-tech-viet-nam-tai-da-nang-2034020?src=topdev_search&medium=searchresult,CHI NHÁNH CÔNG TY TNHH PASONA TECH VIỆT NAM TẠI ĐÀ NẴNG,"Quận Cẩm Lệ, Đà Nẵng, (In Office)",Đăng12 giờ trước,Năm kinh nghiệm tối thiểuTừ1 năm,"Junior,Middle","Japanese - N2, BrSE, Bridge SE",2024-08-31 14:46:25
Fresher Software Developer,https://topdev.vn/vi/viec-lam/fresher-software-developer-lg-cns-viet-nam-2034200?src=topdev_search&medium=searchresult,LG CNS Việt Nam,"Quận Nam Từ Liêm, Hà Nội, (In Office)",Đăng12 giờ trước,Năm kinh nghiệm tối thiểuKhông yêu cầu,Fresher,"Java, C#, Python",2024-08-31 14:46:26
Mid Java Developer (MySQL/ Spring),https://topdev.vn/vi/viec-lam/mid-java-developer-mysql-spring-daoukiwoom-innovation-2034018?src=topdev_search&medium=searchresult,DaouKiwoom Innovation,"Quận Bình Thạnh, Hồ Chí Minh, (In Office)",Đăng12 giờ trước,Năm kinh nghiệm tối thiểuTừ2 năm,"Middle,Senior","Java, MySQL, Java Spring Boot",2024-08-31 14:46:26
PMO and Scrum Master (Regional APAC Hub),https://topdev.vn/vi/viec-lam/pmo-and-scrum-master-regional-apac-hub-heineken-vietnam-2034116?src=topdev_search&medium=searchresult,HEINEKEN Vietnam,"Quận 1, Hồ Chí Minh, (Hybrid, In Office)",Đăng12 giờ trước,Năm kinh nghiệm tối thiểuTừ3 năm,Trưởng phòng,"PMO, Scrum Master",2024-08-31 14:46:27
Chuyên viên/Chuyên viên cao cấp Phát triển ứng dụng BackEnd,https://topdev.vn/vi/viec-lam/chuyen-vien-chuyen-vien-cao-cap-phat-trien-ung-dung-backend-cong-ty-co-phan-chung-khoan-vpbank-2034169?src=topdev_search&medium=searchresult,CÔNG TY CỔ PHẦN CHỨNG KHOÁN VPBANK,"Quận Đống Đa, Hà Nội, (In Office)",Đăng14 giờ trước,Năm kinh nghiệm tối thiểuTừ1 năm,"Junior,Middle,Senior","Java, Back-End, Spring Boot",2024-08-31 14:46:28
